obs,action
"[0.5, 0.01, 0.01, 0.0, 0.05, 0.04, 0.02, 0.03, 0.01, 0.0, 0.01, 0.03, 0.04, 0.02, 0.3333333333333333, 0.5435834415472129, 0.5713868979550523, 0.47079621517443115, 0.5673812204053127, 0.5675918587555736]","[9, 10, 3, 2, 8, 1, 12, 5, 7, 11, 0, 4, 6]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.02, 0.03, 0.01, 0.0, 0.01, 0.03, 0.04, 0.02, 0.3333333333333333, 0.91584490563118, 0.9439798509776495, 0.5178645374780945, 0.5229204830654975, 0.5267155222649762]","[9, 10, 2, 8, 1, 12, 5, 6, 7, 11, 0, 4, 3]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.02, 0.04, 0.02, 0.0, 0.01, 0.04, 0.04, 0.02, 0.5, 0.6351653963068884, 0.6423413818562221, 0.6450646286918982, 0.6694079645403042, 0.8576613920965644]","[9, 10, 2, 8, 1, 12, 5, 6, 7, 11, 0, 3, 4]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.03, 0.04, 0.01, 0.0, 0.01, 0.04, 0.05, 0.03, 0.5, 0.9565013789496485, 0.606504310774767, 0.6037810639390909, 0.6308476466231729, 0.8191010741794332]","[9, 4, 2, 12, 1, 8, 5, 11, 10, 3, 0, 6, 7]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.03, 0.04, 0.01, 0.0, 0.01, 0.04, 0.04, 0.03, 0.6666666666666666, 0.6626045013368582, 0.5461152719367078, 0.5190486892526258, 0.5217719360883017, 0.734368699492968]","[9, 4, 1, 2, 8, 10, 3, 7, 0, 12, 5, 6, 11]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.03, 0.03, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.0, 0.4653920447755411, 0.6596785937074275, 0.5, 0.6521674739344689, 0.6571737549146053]","[9, 4, 2, 1, 8, 11, 10, 7, 3, 0, 12, 5, 6]"
"[0.5, 0.01, 0.01, 0.0, 0.05, 0.03, 0.02, 0.03, 0.01, 0.0, 0.02, 0.04, 0.05, 0.03, 0.0, 0.7616457218722511, 0.5, 0.6166170326828637, 0.621623313663, 0.6241281524558224]","[4, 2, 1, 8, 6, 11, 10, 7, 9, 3, 0, 12, 5]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.02, 0.03, 0.01, 0.0, 0.02, 0.04, 0.05, 0.04, 0.16666666666666666, 0.3974884552681222, 0.5, 0.5403159046753592, 0.5453221856554955, 0.5478270244483179]","[4, 1, 5, 2, 6, 8, 10, 7, 9, 0, 12, 11, 3]"
"[0.5, 0.01, 0.02, 0.0, 0.04, 0.04, 0.02, 0.03, 0.01, 0.0, 0.02, 0.04, 0.05, 0.03, 0.16666666666666666, 0.695492902389816, 0.5, 0.5, 0.5120664907937146, 0.6791625432684737]","[6, 5, 1, 2, 10, 8, 3, 9, 7, 4, 0, 11, 12]"
"[0.5, 0.01, 0.02, 0.0, 0.04, 0.05, 0.02, 0.04, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.3333333333333333, 0.41123123517506127, 0.5, 0.5, 0.5932739433342442, 0.6650034154725404]","[6, 5, 2, 10, 8, 3, 9, 7, 4, 0, 12, 1, 11]"
"[0.5, 0.01, 0.02, 0.0, 0.04, 0.04, 0.02, 0.04, 0.01, 0.0, 0.02, 0.05, 0.04, 0.03, 0.3333333333333333, 0.7860493872876381, 0.5, 0.548295765080735, 0.615179929981889, 0.9211991089563218]","[5, 11, 10, 2, 3, 8, 9, 7, 0, 12, 6, 1, 4]"
"[0.5, 0.01, 0.02, 0.0, 0.05, 0.04, 0.02, 0.04, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.5, 0.405446216309618, 0.5, 0.5408523104992514, 0.8468714894736843, 0.955062632272103]","[5, 11, 2, 3, 8, 9, 7, 4, 0, 12, 6, 1, 10]"
"[0.5, 0.01, 0.02, 0.0, 0.04, 0.04, 0.02, 0.04, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.5, 0.6721720681345005, 0.5088452082802655, 0.8148643872546983, 0.9230555300531171, 0.9451822468934403]","[5, 11, 10, 2, 8, 9, 7, 4, 0, 12, 6, 1, 3]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.02, 0.04, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.5, 0.9674457064532854, 0.8768647560577131, 0.5, 0.7794315506564442, 0.9097494102951862]","[5, 2, 11, 10, 8, 3, 9, 7, 4, 0, 12, 6, 1]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.02, 0.03, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.6666666666666666, 0.565647888951664, 0.6381790517096624, 0.7076472887566387, 0.8050804941579076, 0.8269530864927855]","[1, 5, 2, 8, 11, 10, 3, 7, 9, 4, 0, 12, 6]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.03, 0.03, 0.01, 0.0, 0.03, 0.05, 0.04, 0.03, 0.0, 0.6542319156636438, 0.6460636577876153, 0.5682096122441135, 0.654661877940157, 0.7560912147277634]","[2, 1, 5, 8, 6, 11, 10, 7, 9, 3, 0, 4, 12]"
"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.03, 0.03, 0.01, 0.0, 0.02, 0.05, 0.05, 0.03, 0.0, 0.9750185044143033, 0.5297152215940344, 0.6075692671375361, 0.6161674872900779, 0.7175968240776842]","[6, 1, 11, 2, 3, 8, 7, 4, 0, 12, 5, 10, 9]"
"[0.5, 0.01, 0.01, 0.0, 0.05, 0.04, 0.03, 0.03, 0.01, 0.0, 0.02, 0.04, 0.05, 0.03, 0.16666666666666666, 0.6040285924818344, 0.5406862767219741, 0.5, 0.5271282932558233, 0.6311035516069853]","[6, 1, 2, 3, 8, 9, 7, 4, 0, 12, 5, 11, 10]"
